"filename", "language", "Ignore", "PHP", "JavaScript", "Batch", "YAML", "Markdown", "XML", "JSON", "Docker", "Shell Script", "Properties", "PostCSS", "comment", "blank", "total"
"c:\laragon\www\laravelshare\resources\views\auth\reset-password.blade.php", "PHP", 0, 94, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 103
"c:\laragon\www\laravelshare\resources\views\auth\verify-email.blade.php", "PHP", 0, 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 74
"c:\laragon\www\laravelshare\resources\views\components\application-logo.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\resources\views\components\auth-session-status.blade.php", "PHP", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 15
"c:\laragon\www\laravelshare\resources\views\components\danger-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\resources\views\components\dropdown-link.blade.php", "PHP", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\laragon\www\laravelshare\resources\views\components\dropdown.blade.php", "PHP", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 44
"c:\laragon\www\laravelshare\resources\views\components\input-error.blade.php", "PHP", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\laragon\www\laravelshare\resources\views\components\input-label.blade.php", "PHP", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\laragon\www\laravelshare\resources\views\components\modal.blade.php", "PHP", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 79
"c:\laragon\www\laravelshare\resources\views\components\nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\laragon\www\laravelshare\resources\views\components\primary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\resources\views\components\responsive-nav-link.blade.php", "PHP", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\laragon\www\laravelshare\resources\views\components\secondary-button.blade.php", "PHP", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\laragon\www\laravelshare\resources\views\components\text-input.blade.php", "PHP", 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\laragon\www\laravelshare\resources\views\dashboard.blade.php", "PHP", 0, 209, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 222
